Artist,Recommendations
...and you will know us by the trail of dead,at the drive-in: 0.1558|mogwai: 0.1205|broken social scene: 0.1176|bloc party: 0.1119|sonic youth: 0.1116|cursive: 0.109|modest mouse: 0.107|interpol: 0.1037|editors: 0.1033|built to spill: 0.1022
2pac,snoop dogg: 0.2939|nas: 0.2917|the game: 0.2901|notorious b.i.g.: 0.2832|dr. dre: 0.2668|50 cent: 0.257|dmx: 0.2533|jay-z: 0.2328|eminem: 0.2241|ice cube: 0.219
3 doors down,nickelback: 0.2352|breaking benjamin: 0.1916|linkin park: 0.1909|staind: 0.1751|three days grace: 0.1742|30 seconds to mars: 0.1727|fall out boy: 0.1654|simple plan: 0.1543|papa roach: 0.1507|red hot chili peppers: 0.1502
30 seconds to mars,my chemical romance: 0.223|linkin park: 0.212|three days grace: 0.2037|breaking benjamin: 0.2002|fall out boy: 0.1977|bullet for my valentine: 0.1946|lostprophets: 0.1929|the used: 0.1914|good charlotte: 0.1748|3 doors down: 0.1727
311,sublime: 0.1378|incubus: 0.1215|dave matthews band: 0.0789|jack johnson: 0.0788|matisyahu: 0.0705|the beatles: 0.0693|atmosphere: 0.0684|mae: 0.0679|weezer: 0.0672|red hot chili peppers: 0.0662
36 crazyfists,atreyu: 0.2374|killswitch engage: 0.2357|all that remains: 0.2199|as i lay dying: 0.178|from autumn to ashes: 0.1738|caliban: 0.1605|funeral for a friend: 0.1579|trivium: 0.142|parkway drive: 0.1343|rise against: 0.1342
44,angels & airwaves: 0.2446|blink-182: 0.1918|sum 41: 0.1907|good charlotte: 0.1803|the all-american rejects: 0.1556|new found glory: 0.1544|goldfinger: 0.1446|billy talent: 0.1434|fall out boy: 0.1389|simple plan: 0.1352
50 cent,t.i.: 0.3452|the game: 0.3355|snoop dogg: 0.3054|lil wayne: 0.2994|eminem: 0.2744|ludacris: 0.2703|akon: 0.2657|2pac: 0.2544|kanye west: 0.2437|jay-z: 0.2427
65daysofstatic,god is an astronaut: 0.2167|explosions in the sky: 0.2005|mogwai: 0.1959|godspeed you! black emperor: 0.1655|sigur rós: 0.1524|mono: 0.1512|isis: 0.1508|the album leaf: 0.1182|m83: 0.1167|múm: 0.1037
[unknown],red hot chili peppers: 0.0912|linkin park: 0.0851|metallica: 0.0848|coldplay: 0.0831|various artists: 0.0819|queen: 0.0788|nightwish: 0.0775|soundtrack: 0.0768|system of a down: 0.0758|scooter: 0.0745
a day to remember,silverstein: 0.2443|alesana: 0.2254|bring me the horizon: 0.2163|all time low: 0.2114|parkway drive: 0.2039|escape the fate: 0.1884|saosin: 0.1842|alexisonfire: 0.1779|enter shikari: 0.1715|new found glory: 0.1706
a fine frenzy,sara bareilles: 0.1539|colbie caillat: 0.1263|kt tunstall: 0.1248|sia: 0.1248|amy macdonald: 0.117|maria mena: 0.1079|jem: 0.1045|sarah mclachlan: 0.0998|adele: 0.096|feist: 0.0958
a perfect circle,tool: 0.3654|deftones: 0.2233|nine inch nails: 0.202|incubus: 0.194|muse: 0.1678|radiohead: 0.1596|alice in chains: 0.1589|the mars volta: 0.1577|dredg: 0.155|porcupine tree: 0.1537
