Artist,Recommendations
2pac,snoop dogg|nas|eminem|kanye west
3 doors down,linkin park|coldplay
50 cent,t.i.|jay-z|eminem|kanye west
a perfect circle,tool|radiohead
above & beyond,ferry corsten|armin van buuren|atb
ac/dc,iron maiden|led zeppelin|metallica|the beatles
after forever,epica|nightwish
air,massive attack|portishead|daft punk|coldplay|radiohead
alicia keys,beyoncé|rihanna
all that remains,killswitch engage
amon amarth,metallica
amorphis,in flames
amy winehouse,coldplay
andrew bird,sufjan stevens|radiohead
animal collective,radiohead
anthrax,metallica
aphex twin,radiohead
apocalyptica,nightwish|metallica
arcade fire,sufjan stevens|death cab for cutie|radiohead
arch enemy,in flames|metallica
arctic monkeys,bloc party|franz ferdinand|the killers|muse|coldplay|radiohead
armin van buuren,ferry corsten|atb
as i lay dying,killswitch engage
atb,armin van buuren
audioslave,red hot chili peppers
autechre,aphex twin
avantasia,sonata arctica|nightwish
avril lavigne,rihanna
babyshambles,the libertines|arctic monkeys
beck,radiohead|the beatles
beirut,radiohead
belle and sebastian,sufjan stevens|radiohead|the beatles
beyoncé,lady gaga|rihanna|britney spears
björk,massive attack|radiohead
black sabbath,iron maiden|led zeppelin|metallica
blind guardian,helloween|iron maiden
blink-182,fall out boy
bloc party,arctic monkeys|death cab for cutie|the killers|muse|coldplay|radiohead
blur,coldplay|radiohead
boards of canada,aphex twin|radiohead
bob dylan,led zeppelin|pink floyd|the beatles|radiohead
bob marley,the beatles
bob marley & the wailers,the beatles
bon iver,radiohead
brand new,death cab for cutie
breaking benjamin,linkin park
bright eyes,the shins|death cab for cutie|radiohead
britney spears,beyoncé|lady gaga|rihanna|madonna
broken social scene,death cab for cutie|radiohead
bullet for my valentine,system of a down
children of bodom,metallica
chris brown,rihanna
christina aguilera,rihanna
coldplay,franz ferdinand|death cab for cutie|arctic monkeys|the killers|muse|red hot chili peppers|radiohead|the beatles
common,kanye west
daft punk,justice|coldplay|radiohead
damien rice,death cab for cutie|coldplay
dark tranquillity,in flames|metallica
david bowie,the smiths|radiohead|the beatles
death,slayer
death cab for cutie,the shins|sufjan stevens|the killers|coldplay|radiohead|the beatles
deep purple,led zeppelin|pink floyd|metallica|the beatles
depeche mode,the cure|coldplay|radiohead
devendra banhart,radiohead
digitalism,justice|daft punk
dimmu borgir,metallica
disturbed,koЯn|slipknot|system of a down|metallica
doves,radiohead
dr. dre,snoop dogg|nas
dream theater,metallica
editors,bloc party|arctic monkeys|the killers
elliott smith,sufjan stevens|the shins|death cab for cutie|radiohead
elton john,the beatles
elvis presley,the beatles
eminem,50 cent|kanye west
ensiferum,children of bodom
epica,nightwish
eric clapton,the rolling stones|led zeppelin|the beatles
evanescence,nightwish|linkin park
faithless,massive attack
feist,radiohead
ferry corsten,armin van buuren|atb
fleet foxes,radiohead
foo fighters,red hot chili peppers|coldplay|radiohead
frank sinatra,the beatles
frank zappa,pink floyd
franz ferdinand,arctic monkeys|the killers|muse|coldplay|radiohead
gamma ray,helloween
genesis,pink floyd
girl talk,radiohead
godsmack,disturbed|koЯn|system of a down
goldfrapp,portishead|massive attack|air|radiohead
good charlotte,linkin park
green day,system of a down|the killers|metallica|coldplay
guns n roses,metallica
